YEAR,GOLD_START,GOLD_END,SILVER_START,SILVER_END,AVG_GPRD,avg_gold_price,avg_silver_price,GOLD_ANNUAL_RETURN_%,SILVER_ANNUAL_RETURN_%
1985,305.5,329.7,6.15,5.83,113.22547619047619,317.4761904761905,6.146349206349206,7.921440261865791,-5.2032520325203295
1986,326.5,390.19,5.73,5.34,110.82515748031496,366.7399212598425,5.434370078740157,19.506891271056663,-6.806282722513099
1987,403.1,485.85,5.45,6.68,104.10872093023255,446.679031007752,7.0159689922480615,20.528404862317043,22.56880733944953
1988,480.76,409.39,6.47,6.04,91.85961240310077,436.5548062015504,6.525077519379845,-14.845245028704552,-6.646058732612052
1989,410.28,403.05,5.89,5.22,97.1018992248062,381.10968992248064,5.4925968992248055,-1.7622111728575516,-11.375212224108658
1990,399.45,393.0,5.19,4.21,127.55734615384617,383.8136923076923,4.834269230769231,-1.6147202403304515,-18.88246628131022
1991,388.65,354.3,4.13,3.91,150.45203846153845,362.2303076923077,4.0576923076923075,-8.838286375916626,-5.326876513317185
1992,354.3,333.15,3.91,3.69,86.96187022900763,343.82236641221374,3.950496183206107,-5.969517358171051,-5.62659846547315
1993,328.55,390.75,3.65,5.11,107.202,360.37684615384615,4.326653846153846,18.931669456703695,40.000000000000014
1994,393.75,382.85,5.23,4.89,106.2596923076923,384.22265384615383,5.291,-2.7682539682539624,-6.500956022944565
1995,383.15,387.1,4.89,5.19,91.64776923076923,384.24649999999997,5.2137692307692305,1.0309278350515583,6.134969325153389
1996,390.6,368.05,5.35,4.78,92.4395019157088,387.7655172413793,5.204444444444444,-5.773169482846905,-10.654205607476625
1997,365.4,289.05,4.72,6.0,53.81130769230769,330.9849230769231,4.9198076923076925,-20.894909688013126,27.118644067796616
1998,288.25,288.25,5.97,5.04,72.64307692307693,294.2751923076923,5.546153846153846,0.0,-15.577889447236176
1999,287.35,288.25,4.94,5.42,78.63076923076923,278.8435769230769,5.226653846153846,0.3132068905515842,9.716599190283391
2000,289.0,272.4,5.36,4.6,59.91834615384616,279.2082692307692,4.956346153846154,-5.743944636678209,-14.17910447761195
2001,268.85,278.95,4.57,4.62,177.79026923076924,271.37046153846154,4.3791153846153845,3.7567416775153304,1.0940919037199084
2002,278.85,347.0,4.58,4.77,162.66223076923077,310.7003076923077,4.607461538461538,24.439662901201352,4.148471615720513
2003,345.62,415.05,4.81,5.94,189.3878076923077,364.21569230769234,4.892076923076924,20.088536543024134,23.49272349272351
2004,415.12,438.45,5.97,6.8,139.51536398467434,409.89708812260534,6.678199233716475,5.6200616689150085,13.90284757118928
2005,428.95,517.6,6.48,8.82,110.47276923076923,445.3918461538462,7.321461538461538,20.666744375801386,36.11111111111111
2006,533.6,636.8,9.18,12.9,114.51857142857143,605.0349806949807,11.598378378378378,19.340329835082446,40.52287581699347
2007,640.5,833.6,13.18,14.79,102.24653846153845,697.3999615384615,13.391,30.148321623731462,12.215477996965095
2008,833.7,880.2,14.79,11.36,88.21141221374046,872.2054580152671,14.97671755725191,5.577545879812882,-23.191345503718725
2009,882.15,1096.2,11.4,16.85,89.52099616858237,974.0664750957854,14.707892720306514,24.264580853596335,47.80701754385966
2010,1097.35,1421.45,16.89,30.91,93.08908045977012,1227.308429118774,20.24168582375479,29.53478835376135,83.00769686204855
2011,1414.3,1564.3,30.69,27.73,98.17173076923078,1572.7218076923077,35.31073076923077,10.605953475217422,-9.644835451287067
2012,1566.27,1674.95,27.84,30.34,90.2335632183908,1668.747011494253,31.16406130268199,6.9387781161613304,8.979885057471265
2013,1675.15,1205.55,30.3,19.46,89.84180769230768,1410.0741923076923,23.82657692307692,-28.03331044981047,-35.775577557755774
2014,1205.9,1183.95,19.35,15.71,109.86519230769231,1266.2359230769232,19.078461538461536,-1.8202172651131971,-18.811369509043928
2015,1181.97,1061.3,15.66,13.85,110.37954022988507,1159.9351340996168,15.70896551724138,-10.209226968535587,-11.558109833971907
2016,1060.74,1151.85,13.81,15.94,105.94471264367816,1248.3648659003832,17.112452107279694,8.589286724362228,15.423606082548869
2017,1150.52,1302.55,15.98,16.95,119.76223076923077,1258.4182692307693,17.07023076923077,13.214024962625592,6.070087609511883
2018,1306.86,1282.82,17.01,15.5,112.0396138996139,1268.9212355212355,15.710772200772201,-1.8395237439358436,-8.877131099353331
2019,1282.62,1517.39,15.49,17.83,102.42665384615384,1393.8183076923078,16.206230769230768,18.303940372050974,15.106520335700438
2020,1517.3,1896.49,17.83,26.36,86.70664122137404,1771.3526335877864,20.559923664122138,24.991102616489822,47.84071789119463
2021,1898.1,1828.39,26.36,23.27,91.39134099616858,1798.8169348659003,25.116973180076627,-3.672619988409452,-11.722306525037936
2022,1800.85,1824.4,22.86,23.97,171.06192307692308,1801.9247692307692,21.778192307692308,1.3077158008718206,4.855643044619421
2023,1823.69,2062.59,23.99,23.76,132.84073359073358,1942.7497683397683,23.38996138996139,13.099814113144234,-0.9587328053355435
2024,2063.8,2623.81,23.82,28.87,147.2158076923077,2387.9814230769234,28.275961538461537,27.134896792324824,21.200671704450045
2025,2657.16,3630.9,29.57,40.92,166.89177777777778,3169.3277222222223,34.48283333333333,36.64589260714448,38.383496787284415
