DATE,GOLD_PRICE,GOLD_OPEN,GOLD_HIGH,GOLD_LOW,GOLD_CHANGE_%,SILVER_PRICE,SILVER_OPEN,SILVER_HIGH,SILVER_LOW,SILVER_CHANGE_%,GPRD,GPRD_ACT,GPRD_THREAT,EVENT
9/10/2025,3630.9,3633.61,3634.42,3620.9,-0.07,40.92,40.89,40.94,40.72,0.09,,,,
9/9/2025,3633.61,3637.1,3674.75,3625.33,-0.06,40.89,41.34,41.5,40.77,-1.13,,,,
9/8/2025,3635.84,3586.82,3646.6,3579.67,1.24,41.36,41.01,41.68,40.51,1.2,117.26,97.42,146.26,
9/7/2025,3591.19,3592.07,3596.56,3586.95,0.12,40.86,41,41.01,40.76,-0.34,83.51,111,92.59,
9/5/2025,3586.81,3547,3600.33,3540.05,1.15,41.01,40.69,41.44,40.55,0.76,166.42,110.61,224.05,
9/4/2025,3546.17,3560.57,3564.45,3511.19,-0.37,40.7,41.18,41.24,40.39,-1.26,126.8,79,171.33,
9/3/2025,3559.43,3535.69,3578.8,3526.26,0.73,41.22,40.87,41.49,40.62,0.73,209.95,232.56,193.98,
9/2/2025,3533.73,3478.36,3540.64,3470.2,1.65,40.92,40.75,40.98,40.13,0.53,71.82,89.5,44.79,
9/1/2025,3476.47,3448,3490.06,3436.8,0.83,40.7,39.71,40.79,39.52,2.53,147.77,122.76,184.32,
8/29/2025,3448,3418.2,3454.08,3404.29,0.9,39.7,39.04,40.01,38.71,1.53,183.15,158.77,211.88,
8/28/2025,3417.2,3394.18,3423.36,3384.46,0.58,39.1,38.58,39.15,38.54,1.18,204.2,150.79,251.55,
8/27/2025,3397.42,3392.88,3398.94,3373.76,0.13,38.64,38.58,38.72,38.08,0.06,210.07,193.31,214.99,
8/26/2025,3392.88,3366.78,3394.33,3351.26,0.77,38.62,38.58,38.89,38.33,0.1,115.76,88.77,118.47,
8/25/2025,3366.79,3371.23,3376.47,3359.69,-0.16,38.58,38.93,39.03,38.52,-0.7,153.44,161.97,150.11,
8/22/2025,3372.11,3338.76,3379.01,3321.49,1,38.85,38.15,39.1,37.69,1.72,97.91,48.8,122.12,
8/21/2025,3338.81,3347.38,3353.25,3325.27,-0.25,38.19,37.87,38.26,37.53,0.74,133.44,125.21,130.55,
